rank,speakerName,searchName,party,partyAbbrev,chamber,house,utteranceCount,already_in_media_list,matched_media_name,speakerId
367,Richard Michael John Ogilvie Graham,Richard Graham,Conservative,CONS,Commons,Commons,1,false,,RichardGraham
368,Richard Newby,Lord Newby,Liberal Democrat,LIBDEM,Lords,Lords,1,false,,RichardNewby
369,Robert Alexander Stewart,Robert Stewart,Conservative,CONS,Commons,Commons,1,false,,RobertStewart
370,Robert Butler,Robert Butler,Conservative,CONS,Commons,Commons,1,false,,RobertButler
371,Robert Edward Jenrick,Robert Jenrick,Conservative,CONS,Commons,Commons,1,false,,RobertJenrick
372,Robert John Blackman,Robert Blackman,Conservative,CONS,Commons,Commons,1,false,,RobertBlackman
373,Robert Mair,Lord Mair,Crossbench,CB,Lords,Lords,1,false,,RobertMair
374,Robin Granville Hodgson,Lord Hodgson,Conservative,CONS,Lords,Lords,1,false,,RobinHodgson
375,Robin Janvrin,Lord Janvrin,Crossbench,CB,Lords,Lords,1,false,,RobinJanvrin
376,Roger John Liddle,Lord Liddle,Labour,LAB,Lords,Lords,1,false,,RogerLiddle
377,Ronald Jack Cowan,Ronald Cowan,Scottish National Party,SNP,Commons,Commons,1,false,,RonaldCowan
378,Rosalind Altmann,Baroness Altmann,Conservative,CONS,Lords,Lords,1,false,,RosalindAltmann
379,Rosena Chantelle Allin-Khan,Rosena Allin-Khan,Labour,LAB,Commons,Commons,1,false,,RosenaAllinKhan
380,Rupa Asha Huq,Rupa Huq,Independent,I,Commons,Commons,1,false,,RupaHuq
381,Ruth Deech,Baroness Deech,Crossbench,CB,Lords,Lords,1,false,,RuthDeech
382,Ruth Margaret Cadbury,Ruth Cadbury,Labour,LAB,Commons,Commons,1,false,,RuthCadbury
383,Ruth Rosamond Edwards,Ruth Edwards,Conservative,CONS,Commons,Commons,1,false,,RuthEdwards
384,Samuel Peter Tarry,Samuel Tarry,Labour,LAB,Commons,Commons,1,false,,SamuelTarry
385,Seema Malhotra-Saluja,Seema Malhotra-Saluja,Labour,LAB,Commons,Commons,1,false,,SeemaMalhotraSaluja
386,Selaine Rachel Saxby,Selaine Saxby,Conservative,CONS,Commons,Commons,1,false,,SelaineSaxby
387,Sharon Bowles,Baroness Bowles,Liberal Democrat,LIBDEM,Lords,Lords,1,false,,SharonBowles
388,Simon Anthony Hart,Simon Hart,Conservative,CONS,Commons,Commons,1,false,,SimonHart
389,Siobhain Ann McDonagh,Siobhain McDonagh,Labour,LAB,Commons,Commons,1,false,,SiobhainMcDonagh
390,Siobhan Kathleen Baillie,Siobhan Baillie,Conservative,CONS,Commons,Commons,1,false,,SiobhanBaillie
391,Stella Judith Creasy,Stella Creasy,Labour,LAB,Commons,Commons,1,false,,StellaCreasy
392,Stephen Benn,Lord Benn,Labour,LAB,Lords,Lords,1,false,,StephenBenn
393,Stephen Charles Brine,Stephen Brine,Independent,I,Commons,Commons,1,false,,StephenBrine
394,Stephen Creswell Timms,Stephen Timms,Labour,LAB,Commons,Commons,1,true,Stephen Timms,StephenTimms
395,Stephen Gilbert,Lord Gilbert,Conservative,CONS,Lords,Lords,1,false,,StephenGilbert
396,Stephen James Metcalfe,Stephen Metcalfe,Conservative,CONS,Commons,Commons,1,false,,StephenMetcalfe
397,Stephen John Doughty,Stephen Doughty,Labour,LAB,Commons,Commons,1,false,,StephenDoughty
398,Stephen William Hammond,Stephen Hammond,Independent,I,Commons,Commons,1,false,,StephenHammond
399,Stewart Hosie,Stewart Hosie,Scottish National Party,SNP,Commons,Commons,1,false,,StewartHosie
400,Stuart Paul Anderson,Stuart Anderson,Conservative,CONS,Commons,Commons,1,false,,StuartAnderson
401,Stuart Polak,Lord Polak,Conservative,CONS,Lords,Lords,1,false,,StuartPolak
402,Susan Garden,Baroness Garden,Liberal Democrat,LIBDEM,Lords,Lords,1,false,,SusanGarden
403,Susan Kramer,Baroness Kramer,Liberal Democrat,LIBDEM,Lords,Lords,1,false,,SusanKramer
404,Susan Lilian Primrose Cunliffe-Lister,Baroness Lister,Crossbench,CB,Lords,Lords,1,false,,SusanCunliffeLister
405,Suzanne Webb,Suzanne Webb,Conservative,CONS,Commons,Commons,1,false,,SuzanneWebb
406,Taiwo Owatemi,Taiwo Owatemi,Labour,LAB,Commons,Commons,1,false,,TaiwoOwatemi
407,Tanni Carys Davina Grey-Thompson,Baroness Thompson,Crossbench,CB,Lords,Lords,1,false,,TanniGreyThompson
408,Thomas Georg John Tugendhat,Thomas Tugendhat,Conservative,CONS,Commons,Commons,1,false,,ThomasTugendhat
409,Thomas Jeremy King,Lord King,Conservative,CONS,Lords,Lords,1,false,,ThomasKing
410,Tom McNally,Lord McNally,Liberal Democrat,LIBDEM,Lords,Lords,1,false,,TomMcNally
411,Tracey Elizabeth Anne Crouch,Tracey Crouch,Conservative,CONS,Commons,Commons,1,false,,TraceyCrouch
412,Usha Kumari Prasher,Baroness Prasher,Crossbench,CB,Lords,Lords,1,false,,UshaPrasher
413,Valerie Carol Marian Vaz,Valerie Vaz,Labour,LAB,Commons,Commons,1,false,,ValerieVaz
414,Victoria Grace Ford,Victoria Ford,Conservative,CONS,Commons,Commons,1,false,,VictoriaFord
415,Wendy Anne Chamberlain,Wendy Chamberlain,Liberal Democrat,LIBDEM,Commons,Commons,1,false,,WendyChamberlain
416,Zac Goldsmith,Lord Goldsmith,Conservative,CONS,Lords,Lords,1,false,,ZacGoldsmith
417,Zahida Manzoor,Baroness Manzoor,Conservative,CONS,Lords,Lords,1,false,,ZahidaManzoor
418,Zarah Sultana,Zarah Sultana,Labour,LAB,Commons,Commons,1,false,,ZarahSultana
